date,name,category,value
2019-10-27,Alexis Pinturault,AUT,100
2019-10-27,Sam Maes,AUT,0
2019-10-27,Riley Seger,AUT,0
2019-10-27,Seigo Kato,AUT,0
2019-10-27,Maarten Meiners,AUT,0
2019-10-27,Marlon Sjoberg,AUT,0
2019-10-27,Dries Van Den Broecke,AUT,0
2019-10-27,Ondrej Berndt,AUT,0
2019-10-27,Trevor Philp,AUT,5
2019-10-27,Sung-Hyun Kyung,AUT,0
2019-10-27,Thibaut Favrot,AUT,6
2019-10-27,Cedric Noger,AUT,7
2019-10-27,Justin Murisier,AUT,8
2019-10-27,Thomas Tumler,AUT,9
2019-10-27,Aleksander Aamodt Kilde,AUT,10
2019-10-27,Manfred Moelgg,AUT,11
2019-10-27,Roland Leitinger,AUT,12
2019-10-27,Henrik Kristoffersen,AUT,13
2019-10-27,Ted Ligety,AUT,45
2019-10-27,Lucas Braathen,AUT,40
2019-10-27,Erik Read,AUT,36
2019-10-27,Luca De Aliprandini,AUT,32
2019-10-27,Gino Caviezel,AUT,29
2019-10-27,Leif Kristian Haugen,AUT,26
2019-10-27,Samu Torsti,AUT,0
2019-10-27,Ryan Cochran-Siegle,AUT,24
2019-10-27,Marco Odermatt,AUT,20
2019-10-27,Rasmus Windingstad,AUT,18
2019-10-27,Loic Meillard,AUT,0
2019-10-27,Matthias Mayer,AUT,16
2019-10-27,Stefan Luitz,AUT,15
2019-10-27,Matts Olsson,AUT,14
2019-10-27,Manuel Feller,AUT,22
2019-10-27,Tommy Ford,AUT,50
2019-10-27,Albert Popov,AUT,0
2019-10-27,Patrick Feurstein,AUT,0
2019-10-27,Hannes Zingerle,AUT,0
2019-10-27,Timon Haugan,AUT,0
2019-10-27,Filip Zubcic,AUT,0
2019-10-27,Pavel Trikhichev,AUT,0
2019-10-27,Remy Falgoux,AUT,0
2019-10-27,Nicholas Krause,AUT,0
2019-10-27,Elia Zurbriggen,AUT,0
2019-10-27,River Radamus,AUT,0
2019-10-27,Dominik Paris,AUT,0
2019-10-27,Brian Mclaughlin,AUT,0
2019-10-27,Atle Lie McGrath,AUT,0
2019-10-27,Victor Muffat Jeandet,AUT,3
2019-10-27,Cyprien Sarrazin,AUT,0
2019-10-27,Johannes Strolz,AUT,0
2019-10-27,Adam Zampa,AUT,0
2019-10-27,Giovanni Borsotti,AUT,0
2019-10-27,Fritz Dopfer,AUT,0
2019-10-27,Andreas Zampa,AUT,0
2019-10-27,Bastian Meisen,AUT,0
2019-10-27,Markus Monsen,AUT,0
2019-10-27,Dominik Raschner,AUT,0
2019-10-27,Alexander Schmid,AUT,4
2019-10-27,Mattias Roenngren,AUT,0
2019-10-27,Kristoffer Jakobsen,AUT,0
2019-10-27,Stefan Hadalin,AUT,0
2019-10-27,Magnus Walch,AUT,0
2019-10-27,Fabian Wilkens Solheim,AUT,0
2019-10-27,Riccardo Tonetti,AUT,0
2019-10-27,Charlie Raposo,AUT,0
2019-10-27,Simon Maurberger,AUT,0
2019-10-27,Reto Schmidiger,AUT,0
2019-10-27,Aleksandr Andrienko,AUT,0
2019-10-27,Zan Kranjec,AUT,60
2019-10-27,Stefan Brennsteiner,AUT,0
2019-10-27,Mathieu Faivre,AUT,80
2019-11-24,Federico Liberatore,FIN,0
2019-11-24,Christian Hirschbuehel,FIN,36
2019-11-24,David Ketterer,FIN,0
2019-11-24,Dominik Stehle,FIN,0
2019-11-24,Leif Kristian Haugen,FIN,30
2019-11-24,Ondrej Berndt,FIN,0
2019-11-24,Timon Haugan,FIN,0
2019-11-24,Simon Maurberger,FIN,0
2019-11-24,Adam Zampa,FIN,0
2019-11-24,Hideyuki Narita,FIN,0
2019-11-24,Fabian Bacher,FIN,0
2019-11-24,Simon Fournier,FIN,0
2019-11-24,Sebastian Holzmann,FIN,0
2019-11-24,Youhei Koyama,FIN,0
2019-11-24,Baptiste Alliot Lugaz,FIN,0
2019-11-24,Robin Buffet,FIN,0
2019-11-24,Marc Digruber,FIN,11
2019-11-24,Simen Ramberg Christensen,FIN,0
2019-11-24,Stefano Gross,FIN,0
2019-11-24,Zan Kranjec,FIN,70
2019-11-24,Mathias Graf,FIN,0
2019-11-24,Reto Schmidiger,FIN,0
2019-11-24,Fritz Dopfer,FIN,0
2019-11-24,Marco Schwarz,FIN,6
2019-11-24,Trevor Philp,FIN,10
2019-11-24,David Ryding,FIN,0
2019-11-24,Johannes Strolz,FIN,0
2019-11-24,Jean-Baptiste Grange,FIN,0
2019-11-24,Giuliano Razzoli,FIN,0
2019-11-24,Riccardo Tonetti,FIN,0
2019-11-24,Kristoffer Jakobsen,FIN,40
2019-11-24,Clement Noel,FIN,80
2019-11-24,Luca Aerni,FIN,14
2019-11-24,Loic Meillard,FIN,14
2019-11-24,Sandro Simonet,FIN,20
2019-11-24,Tommaso Sala,FIN,0
2019-11-24,Alexis Pinturault,FIN,100
2019-11-24,Matej Vidovic,FIN,0
2019-11-24,Juan Del Campo,FIN,0
2019-11-24,Dominik Raschner,FIN,0
2019-11-24,Victor Muffat Jeandet,FIN,3
2019-11-24,Turo Torvinen,FIN,0
2019-11-24,Simon Efimov,FIN,0
2019-11-24,Andre Myhrer,FIN,45
2019-11-24,Albert Popov,FIN,0
2019-11-24,Elias Kolega,FIN,12
2019-11-24,Linus Strasser,FIN,32
2019-11-24,Marlon Sjoberg,FIN,0
2019-11-24,Kamen Zlatkov,FIN,0
2019-11-24,Luke Winters,FIN,0
2019-11-24,Anton Tremmel,FIN,0
2019-11-24,Stefan Hadalin,FIN,8
2019-11-24,Filip Zubcic,FIN,15
2019-11-24,Daniel Yule,FIN,60
2019-11-24,Laurie Taylor,FIN,0
2019-11-24,Sebastian-Foss Solevaag,FIN,29
2019-11-24,Tanguy Nef,FIN,9
2019-11-24,Marc Rochat,FIN,0
2019-11-24,Erik Read,FIN,36
2019-11-24,Manuel Feller,FIN,38
2019-11-24,Manfred Moelgg,FIN,37
2019-11-24,Ryuunosuke Ohkoshi,FIN,0
2019-11-24,Jonathan Nordbotten,FIN,0
2019-11-24,Jesper Pohjolainen,FIN,0
2019-11-24,Atle Lie McGrath,FIN,0
2019-11-24,Pavel Trikhichev,FIN,7
2019-11-24,Henrik Kristoffersen,FIN,113
2019-11-24,Michael Matt,FIN,24
2019-11-24,Tobias Hedstroem,FIN,0
2019-11-24,Ramon Zenhaeusern,FIN,50
2019-11-24,Louis Muhlen,FIN,0
2019-11-24,Istok Rodes,FIN,18
2019-11-24,Jens Henttinen,FIN,0
2019-11-24,Henrik Jarvikare,FIN,0
2019-11-24,Samuel Kolega,FIN,0
2019-11-24,Alex Vinatzer,FIN,22
2019-11-24,Armand Marchant,FIN,3
2019-11-24,Julien Lizeroux,FIN,0
2019-11-24,Miikka Mankinen,FIN,0
2019-11-30,Nils Allegre,CAN,9
2019-11-30,Travis Ganong,CAN,26
2019-11-30,Mauro Caviezel,CAN,40
2019-11-30,Johan Clarey,CAN,20
2019-11-30,Steven Nyman,CAN,26
2019-11-30,Sam Mulligan,CAN,0
2019-11-30,Kjetil Jansrud,CAN,32
2019-11-30,Miha Hrobat,CAN,0
2019-11-30,Mattia Casse,CAN,0
2019-11-30,Niels Hintermann,CAN,8
2019-11-30,Othmar Striedinger,CAN,8
2019-11-30,Bryce Bennett,CAN,8
2019-11-30,Maxence Muzaton,CAN,15
2019-11-30,Emanuele Buzzi,CAN,12
2019-11-30,Adrien Theaux,CAN,29
2019-11-30,Vincent Kriechmayr,CAN,36
2019-11-30,Aleksander Aamodt Kilde,CAN,32
2019-11-30,Matthieu Bailet,CAN,10
2019-11-30,Felix Monsen,CAN,0
2019-11-30,Martin Cater,CAN,5
2019-11-30,Hannes Reichelt,CAN,2
2019-11-30,Matthias Mayer,CAN,61
2019-11-30,Benjamin Thomsen,CAN,1
2019-11-30,Marco Odermatt,CAN,34
2019-11-30,Carlo Janka,CAN,60
2019-11-30,Dominik Paris,CAN,80
2019-11-30,Klemen Kosi,CAN,11
2019-11-30,Thomas Dressen,CAN,100
2019-11-30,Christian Walder,CAN,4
2019-11-30,Jared Goldberg,CAN,1
2019-11-30,Daniel Danklmaier,CAN,13
2019-11-30,Romed Baumann,CAN,16
2019-11-30,Josef Ferstl,CAN,18
2019-11-30,Max Franz,CAN,3
2019-11-30,Ryan Cochran-Siegle,CAN,25
2019-11-30,Beat Feuz,CAN,60
2019-12-01,Travis Ganong,CAN,48
2019-12-01,Nils Allegre,CAN,17
2019-12-01,Hannes Reichelt,CAN,14
2019-12-01,Vincent Kriechmayr,CAN,96
2019-12-01,Mauro Caviezel,CAN,100
2019-12-01,Brodie Seger,CAN,15
2019-12-01,Johan Clarey,CAN,26
2019-12-01,Marco Odermatt,CAN,70
2019-12-01,Carlo Janka,CAN,73
2019-12-01,Peter Fill,CAN,2
2019-12-01,Adrian Smiseth Sejersted,CAN,3
2019-12-01,Josef Ferstl,CAN,25
2019-12-01,Stefan Rogentin,CAN,4
2019-12-01,Kjetil Jansrud,CAN,64
2019-12-01,Bostjan Kline,CAN,2
2019-12-01,Ryan Cochran-Siegle,CAN,35
2019-12-01,Beat Feuz,CAN,76
2019-12-01,Adrien Theaux,CAN,58
2019-12-01,Matthieu Bailet,CAN,10
2019-12-01,Thomas Tumler,CAN,20
2019-12-01,Mattia Casse,CAN,45
2019-12-01,Brice Roger,CAN,5
2019-12-01,Max Franz,CAN,27
2019-12-01,Emanuele Buzzi,CAN,32
2019-12-01,Andreas Sander,CAN,14
2019-12-01,Matthias Mayer,CAN,161
2019-12-01,Dominik Paris,CAN,160
2019-12-01,Steven Nyman,CAN,35
2019-12-01,Christian Walder,CAN,24
2019-12-01,Aleksander Aamodt Kilde,CAN,72
2019-12-01,Thomas Dressen,CAN,126
2019-12-01,Sam Mulligan,CAN,0
2019-12-01,Nicolas Raffort,CAN,0
2019-12-06,Hannes Reichelt,USA,43
2019-12-06,Kjetil Jansrud,USA,88
2019-12-06,James Crawford,USA,10
2019-12-06,Pavel Trikhichev,USA,17
2019-12-06,Mattia Casse,USA,71
2019-12-06,Adrian Smiseth Sejersted,USA,35
2019-12-06,Tommy Ford,USA,50
2019-12-06,Gilles Roulin,USA,10
2019-12-06,Sam Mulligan,USA,0
2019-12-06,Thomas Tumler,USA,42
2019-12-06,Steven Nyman,USA,42
2019-12-06,Rasmus Windingstad,USA,31
2019-12-06,Matthieu Bailet,USA,10
2019-12-06,Marco Odermatt,USA,170
2019-12-06,Miha Hrobat,USA,15
2019-12-06,Andreas Sander,USA,32
2019-12-06,Matteo Marsaglia,USA,2
2019-12-06,Ryan Cochran-Siegle,USA,48
2019-12-06,Ted Ligety,USA,48
2019-12-06,Maxence Muzaton,USA,15
2019-12-06,Brice Roger,USA,5
2019-12-06,Romed Baumann,USA,16
2019-12-06,Adrien Theaux,USA,58
2019-12-06,Josef Ferstl,USA,25
2019-12-06,Emanuele Buzzi,USA,32
2019-12-06,Thomas Biesemeyer,USA,0
2019-12-06,Alexis Pinturault,USA,150
2019-12-06,Matthias Mayer,USA,221
2019-12-06,Martin Cater,USA,10
2019-12-06,Stefan Hadalin,USA,8
2019-12-06,Gino Caviezel,USA,35
2019-12-06,Klemen Kosi,USA,22
2019-12-06,Mauro Caviezel,USA,145
2019-12-06,Max Franz,USA,28
2019-12-06,Thomas Dressen,USA,130
2019-12-06,Travis Ganong,USA,88
2019-12-06,Aleksander Aamodt Kilde,USA,152
2019-12-06,Vincent Kriechmayr,USA,132
2019-12-06,Beat Feuz,USA,92
2019-12-06,Nils Allegre,USA,31
2019-12-06,Dominik Paris,USA,180
2019-12-07,Vincent Kriechmayr,USA,212
2019-12-07,Adrien Theaux,USA,87
2019-12-07,Kjetil Jansrud,USA,117
2019-12-07,Romed Baumann,USA,18
2019-12-07,Max Franz,USA,38
2019-12-07,Nils Allegre,USA,46
2019-12-07,Matthieu Bailet,USA,34
2019-12-07,Othmar Striedinger,USA,14
2019-12-07,Christopher Neumayer,USA,6
2019-12-07,Dominik Paris,USA,204
2019-12-07,Urs Kryenbuehl,USA,8
2019-12-07,Beat Feuz,USA,192
2019-12-07,Adrian Smiseth Sejersted,USA,80
2019-12-07,Brodie Seger,USA,35
2019-12-07,Victor Schuller,USA,0
2019-12-07,James Crawford,USA,10
2019-12-07,Christian Walder,USA,40
2019-12-07,Steven Nyman,USA,56
2019-12-07,Ryan Cochran-Siegle,USA,88
2019-12-07,Jared Goldberg,USA,10
2019-12-07,Nils Mani,USA,2
2019-12-07,Carlo Janka,USA,87
2019-12-07,Johan Clarey,USA,106
2019-12-07,Klaus Brandner,USA,0
2019-12-07,Alexander Koell,USA,11
2019-12-07,Hannes Reichelt,USA,93
2019-12-07,Daniel Danklmaier,USA,20
2019-12-07,Thomas Dressen,USA,142
2019-12-07,Maxence Muzaton,USA,19
2019-12-07,Mauro Caviezel,USA,163
2019-12-07,Aleksander Aamodt Kilde,USA,188
2019-12-07,Niels Hintermann,USA,11
2019-12-07,Dominik Schwaiger,USA,36
2019-12-08,Stefan Luitz,USA,15
2019-12-08,Marco Odermatt,USA,170
2019-12-08,Mattias Roenngren,USA,7
2019-12-08,Cedric Noger,USA,12
2019-12-08,Victor Muffat Jeandet,USA,48
2019-12-08,Justin Murisier,USA,34
2019-12-08,Andreas Zampa,USA,0
2019-12-08,Andrea Ballerin,USA,0
2019-12-08,Johannes Strolz,USA,0
2019-12-08,Daniel Meier,USA,0
2019-12-08,Elia Zurbriggen,USA,0
2019-12-08,Riccardo Tonetti,USA,0
2019-12-08,Cyprien Sarrazin,USA,20
2019-12-08,Fritz Dopfer,USA,0
2019-12-08,Sam Maes,USA,0
2019-12-08,Manfred Moelgg,USA,37
2019-12-08,Alexis Pinturault,USA,164
2019-12-08,Alexander Schmid,USA,15
2019-12-08,Hannes Zingerle,USA,4
2019-12-08,Thomas Tumler,USA,42
2019-12-08,Henrik Kristoffersen,USA,193
2019-12-08,Rasmus Windingstad,USA,31
2019-12-08,Riley Seger,USA,0
2019-12-08,Fabian Wilkens Solheim,USA,0
2019-12-08,Filip Zubcic,USA,47
2019-12-08,Matthias Mayer,USA,233
2019-12-08,Mathieu Faivre,USA,120
2019-12-08,Matts Olsson,USA,36
2019-12-08,Adam Zampa,USA,0
2019-12-08,Aleksander Aamodt Kilde,USA,188
2019-12-08,Erik Read,USA,36
2019-12-08,Pavel Trikhichev,USA,26
2019-12-08,Dominik Raschner,USA,3
2019-12-08,Willis Feasey,USA,0
2019-12-08,Stefan Brennsteiner,USA,0
2019-12-08,Luca De Aliprandini,USA,50
2019-12-08,Ted Ligety,USA,72
2019-12-08,Lucas Braathen,USA,56
2019-12-08,Stefan Hadalin,USA,8
2019-12-08,Trevor Philp,USA,46
2019-12-08,Gino Caviezel,USA,64
2019-12-08,Aleksandr Andrienko,USA,0
2019-12-08,Simon Maurberger,USA,0
2019-12-08,Roland Leitinger,USA,22
2019-12-08,Loic Meillard,USA,29
2019-12-08,Atle Lie McGrath,USA,0
2019-12-08,Giulio Bosca,USA,0
2019-12-08,Samuel Dupratt,USA,0
2019-12-08,River Radamus,USA,0
2019-12-08,Marco Schwarz,USA,12
2019-12-08,Zan Kranjec,USA,120
2019-12-08,Ryan Cochran-Siegle,USA,96
2019-12-08,Brian Mclaughlin,USA,0
2019-12-08,Magnus Walch,USA,0
2019-12-08,Leif Kristian Haugen,USA,90
2019-12-08,George Steffey,USA,0
2019-12-08,Tommy Ford,USA,150
2019-12-08,Thibaut Favrot,USA,19
2019-12-08,Dominik Paris,USA,204
2019-12-15,Manfred Moelgg,FRA,55
2019-12-15,Trevor Philp,FRA,46
2019-12-15,Dominik Stehle,FRA,0
2019-12-15,Mathias Graf,FRA,0
2019-12-15,Matej Vidovic,FRA,11
2019-12-15,Tommaso Sala,FRA,0
2019-12-15,Juan Del Campo,FRA,0
2019-12-15,Fritz Dopfer,FRA,10
2019-12-15,Jonathan Nordbotten,FRA,0
2019-12-15,Albert Popov,FRA,22
2019-12-15,Elias Kolega,FRA,28
2019-12-15,Ramon Zenhaeusern,FRA,50
2019-12-15,Luke Winters,FRA,12
2019-12-15,Youhei Koyama,FRA,0
2019-12-15,Marco Schwarz,FRA,32
2019-12-15,Fabio Gstrein,FRA,0
2019-12-15,Adam Zampa,FRA,0
2019-12-15,Zan Kranjec,FRA,120
2019-12-15,Sebastian Holzmann,FRA,0
2019-12-15,Leif Kristian Haugen,FRA,97
2019-12-15,Reto Schmidiger,FRA,0
2019-12-15,Andre Myhrer,FRA,125
2019-12-15,Erik Read,FRA,36
2019-12-15,Sandro Simonet,FRA,20
2019-12-15,Bjoern Brudevoll,FRA,0
2019-12-15,Johannes Strolz,FRA,0
2019-12-15,Laurie Taylor,FRA,0
2019-12-15,Victor Muffat Jeandet,FRA,80
2019-12-15,Filip Zubcic,FRA,47
2019-12-15,Baptiste Alliot Lugaz,FRA,0
2019-12-15,Pavel Trikhichev,FRA,26
2019-12-15,Jean-Baptiste Grange,FRA,0
2019-12-15,Simon Efimov,FRA,0
2019-12-15,Marc Digruber,FRA,11
2019-12-15,Luca Aerni,FRA,18
2019-12-15,Robin Buffet,FRA,0
2019-12-15,Lucas Braathen,FRA,56
2019-12-15,Loic Meillard,FRA,65
2019-12-15,Istok Rodes,FRA,24
2019-12-15,Michael Matt,FRA,69
2019-12-15,David Ryding,FRA,14
2019-12-15,Alex Vinatzer,FRA,22
2019-12-15,Giuliano Razzoli,FRA,5
2019-12-15,Fabian Bacher,FRA,0
2019-12-15,Marc Rochat,FRA,0
2019-12-15,Timon Haugan,FRA,0
2019-12-15,Simon Fournier,FRA,0
2019-12-15,Dominik Raschner,FRA,3
2019-12-15,Stefano Gross,FRA,60
2019-12-15,Christian Hirschbuehel,FRA,60
2019-12-15,Armand Marchant,FRA,16
2019-12-15,Stefan Hadalin,FRA,17
2019-12-15,Alexis Pinturault,FRA,264
2019-12-15,David Ketterer,FRA,0
2019-12-15,Jens Henttinen,FRA,0
2019-12-15,Sebastian-Foss Solevaag,FRA,58
2019-12-15,Federico Liberatore,FRA,0
2019-12-15,Julien Lizeroux,FRA,0
2019-12-15,Stefan Luitz,FRA,15
2019-12-15,Kristoffer Jakobsen,FRA,80
2019-12-15,Hideyuki Narita,FRA,0
2019-12-15,Alexandr Horoshilov,FRA,15
2019-12-15,Daniel Yule,FRA,86
2019-12-15,Tanguy Nef,FRA,9
2019-12-15,Riccardo Tonetti,FRA,8
2019-12-15,Clement Noel,FRA,80
2019-12-15,Ryuunosuke Ohkoshi,FRA,0
2019-12-15,Henrik Kristoffersen,FRA,243
2019-12-15,Simon Maurberger,FRA,0
2019-12-15,River Radamus,FRA,0
2019-12-20,Klemen Kosi,ITA,25
2019-12-20,Thomas Dressen,ITA,202
2019-12-20,Felix Monsen,ITA,13
2019-12-20,James Crawford,ITA,24
2019-12-20,Dominik Paris,ITA,249
2019-12-20,Steven Nyman,ITA,76
2019-12-20,Adrian Smiseth Sejersted,ITA,96
2019-12-20,Mattia Casse,ITA,87
2019-12-20,Mauro Caviezel,ITA,213
2019-12-20,Vincent Kriechmayr,ITA,312
2019-12-20,Stefan Babinsky,ITA,11
2019-12-20,Josef Ferstl,ITA,29
2019-12-20,Rasmus Windingstad,ITA,32
2019-12-20,Gino Caviezel,ITA,82
2019-12-20,Stefan Rogentin,ITA,16
2019-12-20,Christian Walder,ITA,51
2019-12-20,Roy Piccard,ITA,0
2019-12-20,Dominik Schwaiger,ITA,38
2019-12-20,Brice Roger,ITA,14
2019-12-20,Samuel Dupratt,ITA,9
2019-12-20,Adrien Theaux,ITA,113
2019-12-20,Beat Feuz,ITA,221
2019-12-20,Marco Odermatt,ITA,177
2019-12-20,Hannes Reichelt,ITA,133
2019-12-20,Johan Clarey,ITA,142
2019-12-20,Aleksander Aamodt Kilde,ITA,224
2019-12-20,Kjetil Jansrud,ITA,197
2019-12-20,Andreas Sander,ITA,54
2019-12-20,Stian Saugestad,ITA,6
2019-12-20,Matthias Mayer,ITA,257
2019-12-20,Christoph Krenn,ITA,6
2019-12-20,Daniel Danklmaier,ITA,20
2019-12-20,Peter Fill,ITA,2
2019-12-22,Ted Ligety,ITA,72
2019-12-22,Johannes Strolz,ITA,0
2019-12-22,Pavel Trikhichev,ITA,26
2019-12-22,Atle Lie McGrath,ITA,0
2019-12-22,Giulio Bosca,ITA,0
2019-12-22,Remy Falgoux,ITA,0
2019-12-22,Gino Caviezel,ITA,96
2019-12-22,Giovanni Borsotti,ITA,0
2019-12-22,Samu Torsti,ITA,0
2019-12-22,Brian Mclaughlin,ITA,0
2019-12-22,Andrea Ballerin,ITA,0
2019-12-22,Riccardo Tonetti,ITA,21
2019-12-22,Aleksandr Andrienko,ITA,0
2019-12-22,Daniele Sette,ITA,0
2019-12-22,Matthias Mayer,ITA,257
2019-12-22,Simon Maurberger,ITA,0
2019-12-22,Bastian Meisen,ITA,0
2019-12-22,Arttu Niemela,ITA,0
2019-12-22,Justin Murisier,ITA,50
2019-12-22,Ryan Cochran-Siegle,ITA,108
2019-12-22,Michael Matt,ITA,69
2019-12-22,Fabian Wilkens Solheim,ITA,0
2019-12-22,Daniel Meier,ITA,0
2019-12-22,Andreas Zampa,ITA,0
2019-12-22,Mattias Roenngren,ITA,7
2019-12-22,Roberto Nani,ITA,0
2019-12-22,Trevor Philp,ITA,46
2019-12-22,River Radamus,ITA,0
2019-12-22,Elia Zurbriggen,ITA,0
2019-12-22,Erik Read,ITA,36
2019-12-22,Albert Popov,ITA,22
2019-12-22,Stefan Luitz,ITA,15
2019-12-22,Luca De Aliprandini,ITA,65
2019-12-22,Hannes Zingerle,ITA,4
2019-12-22,Sam Maes,ITA,0
2019-12-22,Timon Haugan,ITA,0
2019-12-22,Matts Olsson,ITA,36
2019-12-22,Mathieu Faivre,ITA,129
2019-12-22,Thibaut Favrot,ITA,39
2019-12-22,Adam Zampa,ITA,4
2019-12-22,Lucas Braathen,ITA,88
2019-12-22,Loic Meillard,ITA,87
2019-12-22,Stefan Brennsteiner,ITA,10
2019-12-22,Leif Kristian Haugen,ITA,121
2019-12-22,Dominik Raschner,ITA,8
2019-12-22,Marco Schwarz,ITA,72
2019-12-22,Cedric Noger,ITA,18
2019-12-22,Filip Zubcic,ITA,73
2019-12-22,Roland Leitinger,ITA,30
2019-12-22,Rasmus Windingstad,ITA,68
2019-12-22,Cyprien Sarrazin,ITA,100
2019-12-22,Victor Muffat Jeandet,ITA,87
2019-12-22,Alexis Pinturault,ITA,296
2019-12-22,Alexander Schmid,ITA,35
2019-12-22,Aleksander Aamodt Kilde,ITA,274
2019-12-22,Marco Odermatt,ITA,222
2019-12-22,Tommy Ford,ITA,161
2019-12-22,Manfred Moelgg,ITA,58
2019-12-22,Henrik Kristoffersen,ITA,343
2019-12-22,Zan Kranjec,ITA,180
2019-12-22,Thomas Tumler,ITA,44
2019-12-23,Dominik Raschner,ITA,32
2019-12-23,Rasmus Windingstad,ITA,168
2019-12-23,Mattias Roenngren,ITA,47
2019-12-23,Filip Zubcic,ITA,79
2019-12-23,Thibaut Favrot,ITA,65
2019-12-23,Stefan Luitz,ITA,95
2019-12-23,Leif Kristian Haugen,ITA,171
2019-12-23,Roland Leitinger,ITA,90
2019-12-23,Tommy Ford,ITA,169
2019-12-23,Henrik Kristoffersen,ITA,379
2019-12-23,Loic Meillard,ITA,116
2019-12-23,Alexander Schmid,ITA,48
2019-12-23,Pavel Trikhichev,ITA,41
2019-12-23,Atle Lie McGrath,ITA,7
2019-12-23,Simon Maurberger,ITA,2
2019-12-23,Stefan Hadalin,ITA,18
2019-12-23,Lucas Braathen,ITA,133
2019-12-23,Alexis Pinturault,ITA,301
2019-12-23,Aleksander Aamodt Kilde,ITA,294
2019-12-23,Matts Olsson,ITA,37
2019-12-23,Samu Torsti,ITA,1
2019-12-23,Mathieu Faivre,ITA,145
2019-12-23,Mauro Caviezel,ITA,217
2019-12-23,Christian Hirschbuehel,ITA,72
2019-12-23,Bastian Meisen,ITA,12
2019-12-23,Michael Matt,ITA,79
2019-12-23,Zan Kranjec,ITA,194
2019-12-23,Justin Murisier,ITA,82
2019-12-23,River Radamus,ITA,18
2019-12-23,Ryan Cochran-Siegle,ITA,130
2019-12-23,Fabian Wilkens Solheim,ITA,10
2019-12-23,Hannes Zingerle,ITA,7
2019-12-27,Matthieu Bailet,ITA,74
2019-12-27,Mattia Casse,ITA,100
2019-12-27,Aleksander Aamodt Kilde,ITA,344
2019-12-27,Dominik Schwaiger,ITA,43
2019-12-27,Christopher Neumayer,ITA,10
2019-12-27,Josef Ferstl,ITA,36
2019-12-27,Steven Nyman,ITA,83
2019-12-27,Brice Roger,ITA,50
2019-12-27,Benjamin Thomsen,ITA,4
2019-12-27,Dominik Paris,ITA,349
2019-12-27,Daniel Danklmaier,ITA,21
2019-12-27,Matthias Mayer,ITA,317
2019-12-27,Nicolas Raffort,ITA,14
2019-12-27,Emanuele Buzzi,ITA,34
2019-12-27,Maxence Muzaton,ITA,64
2019-12-27,Adrien Theaux,ITA,131
2019-12-27,Travis Ganong,ITA,120
2019-12-27,Urs Kryenbuehl,ITA,28
2019-12-27,Sam Morse,ITA,0
2019-12-27,Vincent Kriechmayr,ITA,312
2019-12-27,Hannes Reichelt,ITA,155
2019-12-27,Othmar Striedinger,ITA,25
2019-12-27,Kjetil Jansrud,ITA,208
2019-12-27,Ryan Cochran-Siegle,ITA,154
2019-12-27,Beat Feuz,ITA,301
2019-12-27,Carlo Janka,ITA,96
2019-12-27,Max Franz,ITA,54
2019-12-27,Nils Allegre,ITA,58
2019-12-27,Adrian Smiseth Sejersted,ITA,111
2019-12-27,Thomas Dressen,ITA,231
2019-12-27,Romed Baumann,ITA,26
2019-12-27,Johan Clarey,ITA,168
2019-12-28,Miha Hrobat,ITA,15
2019-12-28,Dominik Schwaiger,ITA,47
2019-12-28,Nicolas Raffort,ITA,27
2019-12-28,Matthieu Bailet,ITA,94
2019-12-28,Steven Nyman,ITA,95
2019-12-28,Aleksander Aamodt Kilde,ITA,394
2019-12-28,Mattia Casse,ITA,111
2019-12-28,Brice Roger,ITA,50
2019-12-28,Hannes Reichelt,ITA,155
2019-12-28,Dominik Paris,ITA,449
2019-12-28,Nils Mani,ITA,2
2019-12-28,Beat Feuz,ITA,361
2019-12-28,Alexander Koell,ITA,11
2019-12-28,Martin Cater,ITA,10
2019-12-28,Davide Cazzaniga,ITA,0
2019-12-28,Gilles Roulin,ITA,13
2019-12-28,Max Franz,ITA,54
2019-12-28,Romed Baumann,ITA,27
2019-12-28,Felix Monsen,ITA,29
2019-12-28,Adrien Theaux,ITA,163
2019-12-28,Adrian Smiseth Sejersted,ITA,129
2019-12-28,Jared Goldberg,ITA,18
2019-12-28,Niels Hintermann,ITA,51
2019-12-28,Urs Kryenbuehl,ITA,108
2019-12-28,Johannes Kroell,ITA,9
2019-12-28,Ryan Cochran-Siegle,ITA,178
2019-12-28,Johan Clarey,ITA,204
2019-12-28,Andreas Sander,ITA,59
2019-12-28,Nils Allegre,ITA,64
2019-12-28,Vincent Kriechmayr,ITA,338
2019-12-28,Matthias Mayer,ITA,362
2019-12-28,Maxence Muzaton,ITA,93
2019-12-28,Josef Ferstl,ITA,46
2019-12-28,Benjamin Thomsen,ITA,26
2019-12-28,Christopher Neumayer,ITA,24
2019-12-28,Othmar Striedinger,ITA,40
2019-12-28,Emanuele Buzzi,ITA,36
2019-12-28,Matteo Marsaglia,ITA,9
2019-12-29,Jan Zabystran,ITA,12
2019-12-29,Niels Hintermann,ITA,59
2019-12-29,Mattias Roenngren,ITA,54
2019-12-29,Urs Kryenbuehl,ITA,117
2019-12-29,Florian Schieder,ITA,6
2019-12-29,Alexis Pinturault,ITA,401
2019-12-29,Aleksander Aamodt Kilde,ITA,474
2019-12-29,Dominik Paris,ITA,454
